============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.10-p002_1
  Generated on:           Apr 16 2023  02:00:16 am
  Module:                 top_DDR_controller
  Technology library:     uk65lscllmvbbr_120c25_tc 
  Operating conditions:   uk65lscllmvbbr_120c25_tc (balanced_tree)
  Wireload mode:          top
  Area mode:              timing library
============================================================

                                   
     Gate      Instances    Area             Library           
---------------------------------------------------------------
AN2M2R                 2     4.320    uk65lscllmvbbr_120c25_tc 
AO211M1RA              2     5.760    uk65lscllmvbbr_120c25_tc 
AO211M2RA              2     5.760    uk65lscllmvbbr_120c25_tc 
AO21M2RA               9    22.680    uk65lscllmvbbr_120c25_tc 
AO221M1RA              1     3.600    uk65lscllmvbbr_120c25_tc 
AO222M1RA              1     4.320    uk65lscllmvbbr_120c25_tc 
AO22B10M2R             2     7.200    uk65lscllmvbbr_120c25_tc 
AO22M1RA              28    80.640    uk65lscllmvbbr_120c25_tc 
AO31M1RA               1     2.880    uk65lscllmvbbr_120c25_tc 
AO32M2RA               2     7.200    uk65lscllmvbbr_120c25_tc 
AOI211M1R              1     2.520    uk65lscllmvbbr_120c25_tc 
AOI21B10M1R            1     2.880    uk65lscllmvbbr_120c25_tc 
AOI21M1R               5    10.800    uk65lscllmvbbr_120c25_tc 
AOI21M2R              10    21.600    uk65lscllmvbbr_120c25_tc 
AOI221M1R              5    16.200    uk65lscllmvbbr_120c25_tc 
AOI221M2R             10    32.400    uk65lscllmvbbr_120c25_tc 
AOI222M1RA             1     3.600    uk65lscllmvbbr_120c25_tc 
AOI22M1R               2     5.040    uk65lscllmvbbr_120c25_tc 
AOI22M2R              12    30.240    uk65lscllmvbbr_120c25_tc 
AOI31M1R               1     2.520    uk65lscllmvbbr_120c25_tc 
AOI32M2R               1     2.880    uk65lscllmvbbr_120c25_tc 
BUFTM2R               10    36.000    uk65lscllmvbbr_120c25_tc 
CKINVM2R               2     2.160    uk65lscllmvbbr_120c25_tc 
CKND2M2R               8    11.520    uk65lscllmvbbr_120c25_tc 
DFEQZRM1RA             2    20.160    uk65lscllmvbbr_120c25_tc 
DFEZRM2RA              1    10.800    uk65lscllmvbbr_120c25_tc 
DFM2RA                 4    30.240    uk65lscllmvbbr_120c25_tc 
DFQM2RA               13    88.920    uk65lscllmvbbr_120c25_tc 
DFQZRM1RA             12    86.400    uk65lscllmvbbr_120c25_tc 
DFQZRM2RA             13    93.600    uk65lscllmvbbr_120c25_tc 
DFQZSM2RA              9    74.520    uk65lscllmvbbr_120c25_tc 
DFZRM2RA               5    41.400    uk65lscllmvbbr_120c25_tc 
INVM1R                 1     1.080    uk65lscllmvbbr_120c25_tc 
INVM2R                25    27.000    uk65lscllmvbbr_120c25_tc 
LACQM2RA              33   166.320    uk65lscllmvbbr_120c25_tc 
LAQM2RA                8    40.320    uk65lscllmvbbr_120c25_tc 
MAOI22M1RA             6    17.280    uk65lscllmvbbr_120c25_tc 
MOAI22M1RA             4    11.520    uk65lscllmvbbr_120c25_tc 
MOAI22M2RA             2     5.760    uk65lscllmvbbr_120c25_tc 
MXB2M1RA               1     2.880    uk65lscllmvbbr_120c25_tc 
ND2B1M2R               4     8.640    uk65lscllmvbbr_120c25_tc 
ND2M1R                 5     7.200    uk65lscllmvbbr_120c25_tc 
